Year,Total,Male_0_18,Male_19_45,Male_46_65,Male_66_100,Female_0_18,Female_19_45,Female_46_65,Female_66_100
1970,991,164,189,106,41,164,187,104,36
1971,895,138,179,88,27,171,183,88,21
1972,855,153,167,72,13,187,178,72,13
1973,836,169,158,60,10,168,203,62,6
1974,829,180,155,47,6,185,198,54,4
1975,845,197,123,61,10,212,169,65,8
1976,791,166,110,52,6,226,165,62,4
1977,774,173,102,42,4,237,160,54,2
1978,770,184,96,33,2,218,191,45,1
1979,771,196,91,29,1,232,182,40,0
1980,777,208,75,35,2,244,159,49,5
1981,728,171,72,28,1,257,150,44,5
1982,725,177,69,22,0,269,144,39,5
1983,723,193,61,19,0,245,169,32,4
1984,721,199,55,14,0,258,164,29,2
1985,695,181,44,23,0,263,143,39,2
1986,702,190,42,20,0,276,139,34,1
1987,683,182,37,17,0,258,162,26,1
1988,659,170,33,16,0,266,150,23,1
1989,649,157,31,16,0,262,163,20,0
1990,651,161,17,23,0,261,156,33,0
1991,646,154,15,23,0,249,175,30,0
1992,652,162,14,19,0,247,184,26,0
1993,647,162,13,14,0,235,199,24,0
1994,654,171,11,13,0,235,204,20,0
1995,654,172,0,21,1,237,190,33,0
1996,653,178,0,18,0,235,196,26,0
1997,669,185,0,16,0,240,204,24,0
1998,684,200,0,13,0,241,209,21,0
1999,690,194,0,11,0,249,217,19,0
2000,702,201,0,9,0,259,205,25,3
2001,700,204,0,8,0,259,206,21,2
2002,702,211,0,6,0,260,206,17,2
2003,715,221,0,6,0,259,212,15,2
2004,727,226,0,6,0,260,218,15,2
2005,750,239,0,6,0,272,207,24,2
2006,753,236,0,5,0,279,211,21,1
2007,744,231,0,4,0,277,216,15,1
2008,753,234,0,3,0,279,224,12,1
2009,757,235,0,2,0,285,226,9,0
2010,761,235,0,1,1,293,213,16,2
2011,767,237,0,1,0,297,217,14,1
2012,775,241,0,1,0,293,225,14,1
2013,774,235,0,0,0,298,229,12,0
2014,781,231,0,0,0,306,225,19,0
2015,800,235,0,0,0,308,238,19,0
2016,817,236,0,0,0,316,243,22,0
2017,828,240,0,0,0,315,249,24,0
2018,831,238,0,0,0,313,254,26,0
2019,846,233,0,0,0,329,254,30,0
2020,850,233,0,0,0,333,251,33,0
2021,855,234,0,0,0,341,248,32,0
